"Region Code","Timestamp (Hour Ending)","NY Demand (MWh)"
US48,"4/27/2020, Eastern Time",356112
US48,"4/27/2020, Eastern Time",
US48,"4/28/2020, Eastern Time",337534
US48,"4/28/2020, Eastern Time",
US48,"4/29/2020, Eastern Time",345988
US48,"4/29/2020, Eastern Time",
US48,"4/30/2020, Eastern Time",350924
US48,"4/30/2020, Eastern Time",
US48,"5/1/2020, Eastern Time",339664
US48,"5/1/2020, Eastern Time",
US48,"5/2/2020, Eastern Time",310851
US48,"5/2/2020, Eastern Time",
US48,"5/3/2020, Eastern Time",308151
US48,"5/3/2020, Eastern Time",
US48,"5/4/2020, Eastern Time",337291
US48,"5/4/2020, Eastern Time",
US48,"5/5/2020, Eastern Time",332300
US48,"5/5/2020, Eastern Time",
US48,"5/6/2020, Eastern Time",344727
US48,"5/6/2020, Eastern Time",
US48,"5/7/2020, Eastern Time",335328
US48,"5/7/2020, Eastern Time",
US48,"5/8/2020, Eastern Time",346524
US48,"5/8/2020, Eastern Time",
US48,"5/9/2020, Eastern Time",344123
US48,"5/9/2020, Eastern Time",
US48,"5/10/2020, Eastern Time",322396
US48,"5/10/2020, Eastern Time",
US48,"5/11/2020, Eastern Time",349356
US48,"5/11/2020, Eastern Time",
US48,"5/12/2020, Eastern Time",346632
US48,"5/12/2020, Eastern Time",
US48,"5/13/2020, Eastern Time",339307
US48,"5/13/2020, Eastern Time",
US48,"5/14/2020, Eastern Time",337978
US48,"5/14/2020, Eastern Time",
US48,"5/15/2020, Eastern Time",349492
US48,"5/15/2020, Eastern Time",
US48,"5/16/2020, Eastern Time",329775
US48,"5/16/2020, Eastern Time",
US48,"5/17/2020, Eastern Time",314957
US48,"5/17/2020, Eastern Time",
US48,"5/18/2020, Eastern Time",338796
US48,"5/18/2020, Eastern Time",
US48,"5/19/2020, Eastern Time",332387
US48,"5/19/2020, Eastern Time",
US48,"5/20/2020, Eastern Time",331513
US48,"5/20/2020, Eastern Time",
US48,"5/21/2020, Eastern Time",332967
US48,"5/21/2020, Eastern Time",
US48,"5/22/2020, Eastern Time",347239
US48,"5/22/2020, Eastern Time",
US48,"5/23/2020, Eastern Time",342404
US48,"5/23/2020, Eastern Time",
US48,"5/24/2020, Eastern Time",321627
US48,"5/24/2020, Eastern Time",
US48,"5/25/2020, Eastern Time",339453
US48,"5/25/2020, Eastern Time",
US48,"5/26/2020, Eastern Time",392903
US48,"5/26/2020, Eastern Time",
US48,"5/27/2020, Eastern Time",409021
US48,"5/27/2020, Eastern Time",
US48,"5/28/2020, Eastern Time",406851
US48,"5/28/2020, Eastern Time",
US48,"5/29/2020, Eastern Time",415414
US48,"5/29/2020, Eastern Time",
US48,"5/30/2020, Eastern Time",368260
US48,"5/30/2020, Eastern Time",
US48,"5/31/2020, Eastern Time",325062
US48,"5/31/2020, Eastern Time",
US48,"6/1/2020, Eastern Time",342877
US48,"6/1/2020, Eastern Time",
US48,"6/2/2020, Eastern Time",354817
US48,"6/2/2020, Eastern Time",
US48,"6/3/2020, Eastern Time",387358
US48,"6/3/2020, Eastern Time",
US48,"6/4/2020, Eastern Time",421995
US48,"6/4/2020, Eastern Time",
US48,"6/5/2020, Eastern Time",437673
US48,"6/5/2020, Eastern Time",
US48,"6/6/2020, Eastern Time",422362
US48,"6/6/2020, Eastern Time",
US48,"6/7/2020, Eastern Time",356636
US48,"6/7/2020, Eastern Time",
US48,"6/8/2020, Eastern Time",383467
US48,"6/8/2020, Eastern Time",
US48,"6/9/2020, Eastern Time",435300
US48,"6/9/2020, Eastern Time",
US48,"6/10/2020, Eastern Time",479478
US48,"6/10/2020, Eastern Time",
US48,"6/11/2020, Eastern Time",459278
US48,"6/11/2020, Eastern Time",
US48,"6/12/2020, Eastern Time",428356
US48,"6/12/2020, Eastern Time",
US48,"6/13/2020, Eastern Time",357046
US48,"6/13/2020, Eastern Time",
US48,"6/14/2020, Eastern Time",337827
US48,"6/14/2020, Eastern Time",
US48,"6/15/2020, Eastern Time",373907
US48,"6/15/2020, Eastern Time",
US48,"6/16/2020, Eastern Time",386066
US48,"6/16/2020, Eastern Time",
US48,"6/17/2020, Eastern Time",405260
US48,"6/17/2020, Eastern Time",
US48,"6/18/2020, Eastern Time",437800
US48,"6/18/2020, Eastern Time",
US48,"6/19/2020, Eastern Time",459477
US48,"6/19/2020, Eastern Time",
US48,"6/20/2020, Eastern Time",454682
US48,"6/20/2020, Eastern Time",
US48,"6/21/2020, Eastern Time",467528
US48,"6/21/2020, Eastern Time",
US48,"6/22/2020, Eastern Time",529362
US48,"6/22/2020, Eastern Time",
US48,"6/23/2020, Eastern Time",528120
US48,"6/23/2020, Eastern Time",
US48,"6/24/2020, Eastern Time",493863
US48,"6/24/2020, Eastern Time",
US48,"6/25/2020, Eastern Time",464667
US48,"6/25/2020, Eastern Time",
US48,"6/26/2020, Eastern Time",471196
US48,"6/26/2020, Eastern Time",
US48,"6/27/2020, Eastern Time",435377
US48,"6/27/2020, Eastern Time",
US48,"6/28/2020, Eastern Time",460176
