Region Code,Timestamp (Hour Ending),NY Demand (MWh)
US48,"5/20/2018, Eastern Time",366324
US48,"5/20/2018, Eastern Time",
US48,"5/21/2018, Eastern Time",397662
US48,"5/21/2018, Eastern Time",
US48,"5/22/2018, Eastern Time",394492
US48,"5/22/2018, Eastern Time",
US48,"5/23/2018, Eastern Time",407113
US48,"5/23/2018, Eastern Time",
US48,"5/24/2018, Eastern Time",417653
US48,"5/24/2018, Eastern Time",
US48,"5/25/2018, Eastern Time",439904
US48,"5/25/2018, Eastern Time",
US48,"5/26/2018, Eastern Time",445610
US48,"5/26/2018, Eastern Time",
US48,"5/27/2018, Eastern Time",389821
US48,"5/27/2018, Eastern Time",
US48,"5/28/2018, Eastern Time",373929
US48,"5/28/2018, Eastern Time",
US48,"5/29/2018, Eastern Time",464643
US48,"5/29/2018, Eastern Time",
US48,"5/30/2018, Eastern Time",463590
US48,"5/30/2018, Eastern Time",
US48,"5/31/2018, Eastern Time",449719
US48,"5/31/2018, Eastern Time",
US48,"6/1/2018, Eastern Time",472369
US48,"6/1/2018, Eastern Time",
US48,"6/2/2018, Eastern Time",452402
US48,"6/2/2018, Eastern Time",
US48,"6/3/2018, Eastern Time",375418
US48,"6/3/2018, Eastern Time",
US48,"6/4/2018, Eastern Time",395466
US48,"6/4/2018, Eastern Time",
US48,"6/5/2018, Eastern Time",400793
US48,"6/5/2018, Eastern Time",
US48,"6/6/2018, Eastern Time",394812
US48,"6/6/2018, Eastern Time",
US48,"6/7/2018, Eastern Time",400633
US48,"6/7/2018, Eastern Time",
US48,"6/8/2018, Eastern Time",427755
US48,"6/8/2018, Eastern Time",
US48,"6/9/2018, Eastern Time",405104
US48,"6/9/2018, Eastern Time",
US48,"6/10/2018, Eastern Time",379675
US48,"6/10/2018, Eastern Time",
US48,"6/11/2018, Eastern Time",406995
US48,"6/11/2018, Eastern Time",
US48,"6/12/2018, Eastern Time",415447
US48,"6/12/2018, Eastern Time",
US48,"6/13/2018, Eastern Time",439003
US48,"6/13/2018, Eastern Time",
US48,"6/14/2018, Eastern Time",451378
US48,"6/14/2018, Eastern Time",
US48,"6/15/2018, Eastern Time",426314
US48,"6/15/2018, Eastern Time",
US48,"6/16/2018, Eastern Time",413729
US48,"6/16/2018, Eastern Time",
US48,"6/17/2018, Eastern Time",451136
US48,"6/17/2018, Eastern Time",
US48,"6/18/2018, Eastern Time",556863
US48,"6/18/2018, Eastern Time",
US48,"6/19/2018, Eastern Time",539986
US48,"6/19/2018, Eastern Time",
US48,"6/20/2018, Eastern Time",483949
US48,"6/20/2018, Eastern Time",
US48,"6/21/2018, Eastern Time",486708
US48,"6/21/2018, Eastern Time",
US48,"6/22/2018, Eastern Time",453534
US48,"6/22/2018, Eastern Time",
US48,"6/23/2018, Eastern Time",396176
US48,"6/23/2018, Eastern Time",
US48,"6/24/2018, Eastern Time",419580
US48,"6/24/2018, Eastern Time",
US48,"6/25/2018, Eastern Time",458351
US48,"6/25/2018, Eastern Time",
US48,"6/26/2018, Eastern Time",444745
US48,"6/26/2018, Eastern Time",
US48,"6/27/2018, Eastern Time",444095
US48,"6/27/2018, Eastern Time",
US48,"6/28/2018, Eastern Time",491563
US48,"6/28/2018, Eastern Time",
US48,"6/29/2018, Eastern Time",534326
US48,"6/29/2018, Eastern Time",
US48,"6/30/2018, Eastern Time",536992
US48,"6/30/2018, Eastern Time",
US48,"7/1/2018, Eastern Time",584432
US48,"7/1/2018, Eastern Time",
US48,"7/2/2018, Eastern Time",639404
US48,"7/2/2018, Eastern Time",
US48,"7/3/2018, Eastern Time",616492
US48,"7/3/2018, Eastern Time",
US48,"7/4/2018, Eastern Time",558135
US48,"7/4/2018, Eastern Time",
US48,"7/5/2018, Eastern Time",615947
US48,"7/5/2018, Eastern Time",
US48,"7/6/2018, Eastern Time",546372
US48,"7/6/2018, Eastern Time",
US48,"7/7/2018, Eastern Time",414111
US48,"7/7/2018, Eastern Time",
US48,"7/8/2018, Eastern Time",425759
US48,"7/8/2018, Eastern Time",
US48,"7/9/2018, Eastern Time",510819
US48,"7/9/2018, Eastern Time",
US48,"7/10/2018, Eastern Time",553369
US48,"7/10/2018, Eastern Time",
US48,"7/11/2018, Eastern Time",542780
US48,"7/11/2018, Eastern Time",
US48,"7/12/2018, Eastern Time",509379
US48,"7/12/2018, Eastern Time",
US48,"7/13/2018, Eastern Time",518638
US48,"7/13/2018, Eastern Time",
US48,"7/14/2018, Eastern Time",509720
US48,"7/14/2018, Eastern Time",
US48,"7/15/2018, Eastern Time",512503
US48,"7/15/2018, Eastern Time",
US48,"7/16/2018, Eastern Time",604066
US48,"7/16/2018, Eastern Time",
US48,"7/17/2018, Eastern Time",576839
US48,"7/17/2018, Eastern Time",
US48,"7/18/2018, Eastern Time",508373
US48,"7/18/2018, Eastern Time",
US48,"7/19/2018, Eastern Time",486285
US48,"7/19/2018, Eastern Time",
US48,"7/20/2018, Eastern Time",505463
US48,"7/20/2018, Eastern Time",
US48,"7/21/2018, Eastern Time",448582
US48,"7/21/2018, Eastern Time",
US48,"7/22/2018, Eastern Time",468812
US48,"7/22/2018, Eastern Time",
US48,"7/23/2018, Eastern Time",550605
US48,"7/23/2018, Eastern Time",
US48,"7/24/2018, Eastern Time",571805
US48,"7/24/2018, Eastern Time",
US48,"7/25/2018, Eastern Time",546833
US48,"7/25/2018, Eastern Time",
US48,"7/26/2018, Eastern Time",549838
US48,"7/26/2018, Eastern Time",
US48,"7/27/2018, Eastern Time",548694
US48,"7/27/2018, Eastern Time",
US48,"7/28/2018, Eastern Time",496968
US48,"7/28/2018, Eastern Time",
US48,"7/29/2018, Eastern Time",466132
US48,"7/29/2018, Eastern Time",
US48,"7/30/2018, Eastern Time",494818
US48,"7/30/2018, Eastern Time",
US48,"7/31/2018, Eastern Time",512628
US48,"7/31/2018, Eastern Time",
US48,"8/1/2018, Eastern Time",556731
US48,"8/1/2018, Eastern Time",
US48,"8/2/2018, Eastern Time",581953
US48,"8/2/2018, Eastern Time",
US48,"8/3/2018, Eastern Time",561994
US48,"8/3/2018, Eastern Time",
US48,"8/4/2018, Eastern Time",520837
US48,"8/4/2018, Eastern Time",
US48,"8/5/2018, Eastern Time",539005
US48,"8/5/2018, Eastern Time",
US48,"8/6/2018, Eastern Time",622839
US48,"8/6/2018, Eastern Time",
US48,"8/7/2018, Eastern Time",610095
US48,"8/7/2018, Eastern Time",
US48,"8/8/2018, Eastern Time",593941
US48,"8/8/2018, Eastern Time",
US48,"8/9/2018, Eastern Time",588315
US48,"8/9/2018, Eastern Time",
US48,"8/10/2018, Eastern Time",550695
US48,"8/10/2018, Eastern Time",
US48,"8/11/2018, Eastern Time",481533
US48,"8/11/2018, Eastern Time",
US48,"8/12/2018, Eastern Time",486151
US48,"8/12/2018, Eastern Time",
US48,"8/13/2018, Eastern Time",512958
US48,"8/13/2018, Eastern Time",
US48,"8/14/2018, Eastern Time",521470
US48,"8/14/2018, Eastern Time",
US48,"8/15/2018, Eastern Time",551259
US48,"8/15/2018, Eastern Time",
US48,"8/16/2018, Eastern Time",584699
US48,"8/16/2018, Eastern Time",
US48,"8/17/2018, Eastern Time",583633
US48,"8/17/2018, Eastern Time",
US48,"8/18/2018, Eastern Time",512078
US48,"8/18/2018, Eastern Time",
US48,"8/19/2018, Eastern Time",438070
US48,"8/19/2018, Eastern Time",
US48,"8/20/2018, Eastern Time",470309
US48,"8/20/2018, Eastern Time",
US48,"8/21/2018, Eastern Time",480307
US48,"8/21/2018, Eastern Time",
US48,"8/22/2018, Eastern Time",508143
US48,"8/22/2018, Eastern Time",
US48,"8/23/2018, Eastern Time",464437
US48,"8/23/2018, Eastern Time",
US48,"8/24/2018, Eastern Time",473934
US48,"8/24/2018, Eastern Time",
US48,"8/25/2018, Eastern Time",445809
US48,"8/25/2018, Eastern Time",
US48,"8/26/2018, Eastern Time",465297
US48,"8/26/2018, Eastern Time",
US48,"8/27/2018, Eastern Time",568647
US48,"8/27/2018, Eastern Time",
US48,"8/28/2018, Eastern Time",634636
US48,"8/28/2018, Eastern Time",
US48,"8/29/2018, Eastern Time",650915
US48,"8/29/2018, Eastern Time",
US48,"8/30/2018, Eastern Time",595428
US48,"8/30/2018, Eastern Time",
US48,"8/31/2018, Eastern Time",496337
US48,"8/31/2018, Eastern Time",
US48,"9/1/2018, Eastern Time",451357
US48,"9/1/2018, Eastern Time",
US48,"9/2/2018, Eastern Time",471031
US48,"9/2/2018, Eastern Time",
US48,"9/3/2018, Eastern Time",555117
US48,"9/3/2018, Eastern Time",
US48,"9/4/2018, Eastern Time",614799
US48,"9/4/2018, Eastern Time",
US48,"9/5/2018, Eastern Time",622825
US48,"9/5/2018, Eastern Time",
US48,"9/6/2018, Eastern Time",612750
